1476,1207,LUT TAWAR,3,kecamatan,18,11,1104,110417,1104170000,,0,approved,,14/7/2018 04.48.10
1493,1492,JOHAN PAHWALAN,3,kecamatan,21,11,1105,110501,1105010000,,0,active,,3/10/2018 10.10.05
1515,1492,KAWAY XVI,3,kecamatan,44,11,1105,110502,1105020000,,0,active,,3/10/2018 10.10.09
1559,1492,SUNGAI MAS,3,kecamatan,18,11,1105,110503,1105030000,,0,active,,3/10/2018 10.10.17
1577,1492,WOYLA,3,kecamatan,43,11,1105,110504,1105040000,,0,active,,3/10/2018 10.10.20
1621,1492,SAMATIGA,3,kecamatan,32,11,1105,110505,1105050000,,0,active,,3/10/2018 10.10.28
1654,1492,BUBON,3,kecamatan,17,11,1105,110506,1105060000,,0,active,,3/10/2018 10.10.35
1672,1492,ARONGAN LAMBALEK,3,kecamatan,27,11,1105,110507,1105070000,,0,active,,3/10/2018 10.10.38
1700,1492,PANTE CEUREUMEN,3,kecamatan,25,11,1105,110508,1105080000,,0,active,,3/10/2018 10.10.43
1726,1492,MEUREUBO,3,kecamatan,26,11,1105,110509,1105090000,,0,active,,3/10/2018 10.10.49
1753,1492,WOYLA BARAT,3,kecamatan,24,11,1105,110510,1105100000,,0,active,,3/10/2018 10.10.54
1778,1492,WOYLA TIMUR,3,kecamatan,26,11,1105,110511,1105110000,,0,active,,3/10/2018 10.10.59
1804,1492,PANTON REU,3,kecamatan,19,11,1105,110512,1105120000,,0,active,,3/10/2018 10.11.04
1825,1824,LHOONG,3,kecamatan,28,11,1106,110601,1106010000,,0,active,,3/10/2018 10.11.08
1854,1824,LHOKNGA,3,kecamatan,28,11,1106,110602,1106020000,,0,active,,3/10/2018 10.11.14
1883,1824,INDRAPURI,3,kecamatan,52,11,1106,110603,1106030000,,0,active,,3/10/2018 10.11.19
1936,1824,SEULIMEUM,3,kecamatan,47,11,1106,110604,1106040000,,0,active,,3/10/2018 10.11.30
1984,1824,MONTASIK,3,kecamatan,39,11,1106,110605,1106050000,,0,active,,3/10/2018 10.11.38
2024,1824,SUKAMAKMUR,3,kecamatan,35,11,1106,110606,1106060000,,0,active,,3/10/2018 10.11.46
2060,1824,DARUL IMARAH,3,kecamatan,32,11,1106,110607,1106070000,,0,active,,3/10/2018 10.11.53
2093,1824,PEUKAN BADA,3,kecamatan,26,11,1106,110608,1106080000,,0,active,,3/10/2018 10.11.59
2120,1824,MESJID RAYA,3,kecamatan,13,11,1106,110609,1106090000,,0,active,,3/10/2018 10.12.04
2134,1824,INGIN JAYA,3,kecamatan,50,11,1106,110610,1106100000,,0,active,,3/10/2018 10.12.07
2185,1824,KUTA BARO,3,kecamatan,47,11,1106,110611,1106110000,,0,active,,3/10/2018 10.12.16
2233,1824,DARUSSALAM,3,kecamatan,29,11,1106,110612,1106120000,,0,active,,3/10/2018 10.12.25
2263,1824,PULO ACEH,3,kecamatan,17,11,1106,110613,1106130000,,0,active,,3/10/2018 10.12.31
2281,1824,LEMBAH SEULAWAH,3,kecamatan,12,11,1106,110614,1106140000,,0,active,,3/10/2018 10.12.35
2294,1824,KOTA JANTHO,3,kecamatan,13,11,1106,110615,1106150000,,0,active,,3/10/2018 10.12.37
2308,1824,KOTA COT GLIE,3,kecamatan,32,11,1106,110616,1106160000,,0,active,,3/10/2018 10.12.40
2341,1824,KUTA MALAKA,3,kecamatan,15,11,1106,110617,1106170000,,0,active,,3/10/2018 10.12.46
2357,1824,SIMPANG TIGA,3,kecamatan,18,11,1106,110618,1106180000,,0,active,,3/10/2018 10.12.49
2376,1824,DARUL KAMAL,3,kecamatan,14,11,1106,110619,1106190000,,0,active,,3/10/2018 10.12.52
2391,1824,BAITUSSALAM,3,kecamatan,13,11,1106,110620,1106200000,,0,active,,3/10/2018 10.12.55
2405,1824,KRUENG BARONA JAYA,3,kecamatan,12,11,1106,110621,1106210000,,0,active,,3/10/2018 10.12.58
2418,1824,LEUPUNG,3,kecamatan,6,11,1106,110622,1106220000,,0,active,,3/10/2018 10.13.00
2425,1824,BLANG BINTANG,3,kecamatan,26,11,1106,110623,1106230000,,0,active,,3/10/2018 10.13.02
2453,2452,BATEE,3,kecamatan,28,11,1107,110703,1107030000,,0,active,,3/10/2018 10.13.07
2482,2452,DELIMA,3,kecamatan,44,11,1107,110704,1107040000,,0,active,,3/10/2018 10.13.13
2527,2452,GEUMPANG,3,kecamatan,5,11,1107,110705,1107050000,,0,active,,3/10/2018 10.13.22
2533,2452,GEULUMPANG TIGA,3,kecamatan,34,11,1107,110706,1107060000,,0,active,,3/10/2018 10.13.23
